B_COUNTRY_ALPHA,Mean_Q71,Mean_Q69,Mean_Q3,Mean_Q37,Mean_Q39,Mean_Q58,Mean_Q239,Mean_Q176,Mean_Q46,Mean_Q164,Mean_Q170,Mean_Q62,Mean_Q63,Mean_Q110,Mean_Q66,Mean_Q41,Mean_Q112,Mean_Q49,Mean_Q29,Mean_Q108,Mean_Q158,Mean_Q48,Mean_Q236,Mean_Q169,Mean_Q131,Mean_Q59,Mean_Q172,Mean_Q1,Mean_Q161,Mean_Q40,Mean_Q31,Mean_Q253,Mean_incomeWB,Mean_regionWB,Mean_Q33,Mean_Q6,Mean_Q235,Mean_Q171,Mean_GDPpercap1,Mean_Q159,Mean_Q61,Mean_Q130,Mean_Q254,Mean_Q121,Mean_Q60,Mean_Q34,Mean_Q4,Mean_Q2,Mean_Q50,Mean_Q240,Mean_Q109,Mean_Q47,Mean_Q5,Mean_Q252
AND,2.4185136897001303,2.8983050847457625,1.4276401564537158,2.2633637548891787,3.5058670143415904,3.8383311603650587,1.333767926988266,6.190352020860495,3.2907431551499347,4.5162972620599735,1.728813559322034,2.5671447196870925,2.6258148631029985,4.694915254237288,2.241199478487614,2.7796610169491527,5.9061277705345505,7.573663624511082,1.6127770534550196,4.471968709256845,7.488917861799218,7.610169491525424,2.6153846153846154,1.694915254237288,3.707953063885267,2.717079530638853,2.9009126466753585,1.1147327249022165,5.417209908735332,3.2346805736636246,1.6036505867014341,3.2503259452411997,4.0,6.0,1.651890482398957,3.043024771838331,1.7118644067796611,2.1134289439374183,0.0,7.164276401564537,2.0547588005215123,2.2542372881355934,2.7288135593220337,4.015645371577575,3.2842242503259453,2.6766623207301175,2.893089960886571,1.5136897001303782,6.595827900912647,4.838331160365058,3.196870925684485,4.086049543676662,1.5058670143415906,5.696219035202086
ARG,2.11340206185567,2.131443298969072,1.8170103092783505,2.5592783505154637,3.399484536082474,3.8221649484536084,1.8711340206185567,5.074742268041237,3.2371134020618557,6.912371134020619,2.0309278350515463,2.6288659793814433,2.6211340206185567,5.043814432989691,2.11340206185567,3.327319587628866,8.487113402061855,7.824742268041237,1.9458762886597938,5.038659793814433,7.548969072164948,7.899484536082475,2.6237113402061856,2.2422680412371134,2.600515463917526,3.0309278350515463,4.309278350515464,1.1030927835051547,5.572164948453608,3.306701030927835,1.884020618556701,2.597938144329897,3.0,5.0,2.463917525773196,2.422680412371134,2.6752577319587627,3.1804123711340204,22947.14,7.579896907216495,2.1752577319587627,2.3711340206185567,4.376288659793815,3.1108247422680413,3.118556701030928,3.36340206185567,2.685567010309278,1.518041237113402,6.453608247422681,5.927835051546392,4.81701030927835,3.9097938144329896,1.4149484536082475,5.657216494845361
AUS,2.1755162241887906,3.0848082595870205,1.6283185840707965,2.178466076696165,3.217551622418879,3.7529498525073746,1.2094395280235988,4.760324483775811,3.2028023598820057,4.649705014749262,1.5457227138643068,2.8355457227138645,2.8613569321533925,4.292035398230088,1.9778761061946903,2.475663716814159,6.56858407079646,7.493362831858407,1.6275811209439528,5.183628318584071,7.4144542772861355,7.658554572271386,2.4579646017699117,1.693952802359882,3.015486725663717,2.922566371681416,3.308259587020649,1.1165191740412979,3.755899705014749,3.49188790560472,1.5427728613569323,3.103982300884956,4.0,7.0,1.7831858407079646,2.9085545722713864,1.7964601769911503,2.4210914454277286,53320.26999999999,7.101769911504425,2.4830383480825957,2.405604719764012,4.348082595870206,2.7234513274336285,3.407817109144543,3.0870206489675516,2.4033923303834808,1.4837758112094395,6.635693215339233,5.20575221238938,3.603244837758112,3.9609144542772863,2.0140117994100293,5.752949852507375
BGD,3.082051282051282,2.373076923076923,2.194871794871795,4.482051282051282,4.556410256410256,3.9871794871794872,2.791025641025641,5.957692307692308,3.2012820512820515,9.679487179487179,3.8038461538461537,2.1769230769230767,1.8525641025641026,3.182051282051282,2.894871794871795,4.297435897435897,7.733333333333333,7.703846153846154,2.805128205128205,4.4282051282051285,8.742307692307692,7.38974358974359,2.5012820512820513,3.7525641025641026,3.167948717948718,3.235897435897436,6.5807692307692305,1.0205128205128204,6.1038461538461535,4.57051282051282,2.8153846153846156,3.1243589743589744,2.0,2.0,4.151282051282052,1.0807692307692307,1.7576923076923077,5.0717948717948715,4950.74,8.808974358974359,1.8525641025641026,2.325641025641026,4.797435897435897,3.1705128205128204,2.864102564102564,4.393589743589744,2.9923076923076923,1.926923076923077,7.064102564102564,7.180769230769231,3.2717948717948717,3.769230769230769,1.2256410256410257,6.776923076923077
ARM,2.1204545454545456,2.331818181818182,1.834090909090909,2.827272727272727,4.211363636363636,3.922727272727273,1.8590909090909091,6.865909090909091,3.409090909090909,9.190909090909091,3.2954545454545454,1.8954545454545455,2.1272727272727274,4.134090909090909,1.6227272727272728,3.6818181818181817,7.343181818181818,6.965909090909091,2.6136363636363638,4.336363636363636,8.756818181818181,7.734090909090909,2.565909090909091,2.6136363636363638,2.6159090909090907,2.7613636363636362,5.929545454545455,1.0454545454545454,7.0181818181818185,3.075,2.4295454545454547,2.2477272727272726,3.0,6.0,3.231818181818182,1.45,2.9977272727272726,3.3295454545454546,14219.63,9.059090909090909,1.8204545454545455,2.1227272727272726,4.7295454545454545,3.397727272727273,2.9886363636363638,3.8772727272727274,2.6772727272727272,1.7227272727272727,5.797727272727273,5.3954545454545455,2.8204545454545453,3.4386363636363635,1.268181818181818,4.179545454545455
BOL,2.049402390438247,1.848605577689243,1.7713147410358565,3.3211155378486055,3.9800796812749004,3.4079681274900397,2.303585657370518,5.630278884462151,3.142629482071713,9.187250996015937,2.5872509960159364,2.062151394422311,1.7274900398406374,4.468525896414342,2.199203187250996,3.79203187250996,8.698804780876493,7.52988047808765,2.1274900398406373,5.79601593625498,6.404780876494024,7.5290836653386455,2.995219123505976,2.755378486055777,2.7163346613545816,2.1840637450199205,6.333067729083665,1.2,6.755378486055777,4.048605577689243,2.040637450199203,2.4924302788844623,2.0,5.0,2.7131474103585655,1.6095617529880477,2.808764940239044,4.691633466135458,9086.06,7.124302788844622,1.5314741035856574,2.842231075697211,4.675697211155378,3.0780876494023905,2.5235059760956173,4.075697211155378,2.704382470119522,2.341035856573705,6.515537848605578,5.413545816733068,5.031872509960159,3.5545816733067728,1.2573705179282868,5.5665338645418325
BRA,1.7724137931034483,2.462068965517241,1.806896551724138,2.7896551724137932,3.45,3.4413793103448276,2.1672413793103447,6.656896551724138,3.1982758620689653,9.072413793103449,1.8844827586206896,2.513793103448276,2.193103448275862,4.729310344827586,2.1655172413793102,3.079310344827586,9.424137931034483,7.632758620689655,1.9948275862068965,3.7051724137931035,6.563793103448276,7.548275862068966,3.053448275862069,2.4,2.277586206896552,2.456896551724138,6.1689655172413795,1.2,5.427586206896552,3.3879310344827585,1.9741379310344827,2.2758620689655173,3.0,5.0,2.4655172413793105,1.7396551724137932,2.7948275862068965,4.608620689655172,15258.85,7.162068965517242,1.8517241379310345,2.424137931034483,3.7810344827586206,3.1310344827586207,2.6655172413793102,3.4120689655172414,2.4948275862068967,1.7603448275862068,6.1482758620689655,5.377586206896551,3.782758620689655,3.8689655172413793,1.436206896551724,2.6051724137931034
CAN,2.447482014388489,2.84136690647482,1.5341726618705036,2.2359712230215827,3.151438848920863,3.585251798561151,1.5654676258992806,5.25431654676259,3.0787769784172663,5.513669064748202,1.6586330935251798,2.931294964028777,2.9449640287769783,4.867985611510791,2.352517985611511,2.5262589928057553,6.766546762589928,7.113669064748201,1.7719424460431654,5.5924460431654675,7.333093525179856,7.481654676258993,2.514388489208633,1.8133093525179855,2.9528776978417266,2.9615107913669063,4.034892086330935,1.2276978417266187,4.600359712230216,3.5244604316546764,1.772661870503597,3.0546762589928056,4.0,3.0,1.725179856115108,2.655755395683453,1.7863309352517986,2.6636690647482015,51341.71000000001,7.447122302158274,2.464388489208633,2.2766187050359714,4.329856115107914,3.772661870503597,3.3719424460431653,2.9866906474820145,2.3633093525179856,1.589568345323741,6.575539568345324,5.389208633093525,4.207553956834532,3.8431654676258993,1.9478417266187051,6.444964028776979
CHL,2.243835616438356,2.4438356164383563,1.4602739726027398,2.9863013698630136,3.745205479452055,3.66027397260274,2.1013698630136988,5.328767123287672,3.1397260273972605,6.487671232876712,2.126027397260274,2.361643835616438,2.328767123287671,4.901369863013699,2.4465753424657533,3.3068493150684932,7.073972602739726,7.158904109589041,2.208219178082192,4.586301369863014,6.336986301369863,7.336986301369863,2.4904109589041097,2.158904109589041,2.4356164383561643,2.83013698630137,4.353424657534247,1.082191780821918,5.920547945205479,3.671232876712329,2.0767123287671234,2.441095890410959,4.0,5.0,2.7945205479452055,2.356164383561644,2.441095890410959,3.589041095890411,25154.990000000005,6.742465753424658,2.0684931506849313,2.515068493150685,4.038356164383561,2.9397260273972603,2.684931506849315,3.4986301369863013,2.756164383561644,1.7013698630136986,6.263013698630137,4.7972602739726025,4.742465753424658,3.8684931506849316,1.7424657534246575,5.808219178082192
TWN,2.453309156844968,2.9936536718041706,1.6690843155031732,3.2701722574796013,4.086128739800544,3.7905711695376247,1.8631006346328196,6.367180417044424,3.14596554850408,6.049864007252946,1.8912058023572076,2.5448776065276517,2.398912058023572,4.2946509519492295,2.089755213055304,3.070716228467815,7.682683590208522,7.035358114233907,2.071622846781505,5.541251133272892,7.4596554850407975,7.351767905711696,2.772438803263826,1.9927470534904805,3.4369900271985494,2.8912058023572076,4.551223934723481,1.0933816863100634,5.29193109700816,3.734360834088849,1.940163191296464,2.9374433363553942,4.0,7.0,2.8368087035358114,2.42701722574796,2.8649138712601996,3.2520398912058024,0.0,6.959202175883953,2.212148685403445,2.7688123300090663,3.959202175883953,3.1949229374433363,3.1659111514052585,4.074342701722575,2.6400725294650953,1.686310063463282,6.457842248413418,3.9492293744333637,3.312783318223028,3.7805983680870354,1.4922937443336355,5.1133272892112425
